wkt_geom,buurtcode,buurtnaam,wijkcode,gemeenteco,gemeentena,indelingsw,water,meestVoork,dekkingspe,omgevingsa,stedelijkh,bevolkings,aantalInwo,mannen,vrouwen,percentage,percenta_1,percenta_2,percenta_3,percenta_4,percenta_5,percenta_6,percenta_7,percenta_8,aantalHuis,percenta_9,percenta10,percenta11,gemiddelde,percenta12,percenta13,percenta14,percenta15,percGebInN,percGebI_1,percGebBui,percGebB_1,oppervlakt,oppervla_1,oppervla_2,jrstatcode,jaar,fuuid
"MultiPolygon (((5.07952027956141894 51.55422621444576237, 5.07600180660153644 51.55146592330033428, 5.0694412311974606 51.5500195289224763, 5.06923333216927396 51.55260928094524076, 5.07952027956141894 51.55422621444576237, 5.07952027956141894 51.55422621444576237)))",BU08551902,Sint Anna Zuid,WK085519,GM0855,Tilburg,1,NEE,5025,1,5003,1,8598,1295,705,590,6,26,37,18,12,74,16,7,3,895,72,19,10,1.4,65,20,15,65,2,6,18,9,15,15,0,2023BU08551902,2023,buurten.9d0f5e31-b073-4074-bae2-7141391b0f11
"MultiPolygon (((5.06668295642788813 51.56042653344122328, 5.06848603009601284 51.55589781570918007, 5.06381277777731409 51.55624560911058296, 5.06668295642788813 51.56042653344122328, 5.06668295642788813 51.56042653344122328)))",BU08552001,Bomenbuurt West,WK085520,GM0855,Tilburg,1,NEE,5038,1,4363,1,9703,1305,630,675,6,21,23,23,26,55,34,5,6,865,63,27,10,1.5,76,8,16,76,4,7,4,9,13,13,0,2023BU08552001,2023,buurten.32ccd9c6-abea-4b84-b082-c34185036b03
"MultiPolygon (((5.07423802659977774 51.56040807703192996, 5.07569872035637459 51.55536403742723905, 5.06848603009601284 51.55589781570918007, 5.06807131497089269 51.56034412050745885, 5.07423802659977774 51.56040807703192996, 5.07423802659977774 51.56040807703192996)))",BU08552002,Bomenbuurt Midden,WK085520,GM0855,Tilburg,1,NEE,5038,1,5166,1,10478,2420,1170,1250,10,14,35,22,19,60,27,8,5,1440,57,27,17,1.7,78,12,10,78,3,5,9,5,23,23,0,2023BU08552002,2023,buurten.494a21ef-981a-4245-9c0f-70d2898632e3
"MultiPolygon (((5.07685461179125141 51.56036741985157335, 5.07827713229338151 51.55526849729924521, 5.07569872035637459 51.55536403742723905, 5.07423389836951966 51.56043794427453264, 5.07685461179125141 51.56036741985157335, 5.07685461179125141 51.56036741985157335)))",BU08552003,Bomenbuurt Oost,WK085520,GM0855,Tilburg,1,NEE,5038,1,5477,1,9850,1250,610,645,6,14,34,21,25,57,22,14,7,865,69,21,10,1.4,73,12,15,73,3,6,9,10,13,13,0,2023BU08552003,2023,buurten.e048f0f5-bb00-4bf4-82fd-674fa1404ecf
"MultiPolygon (((5.0743967630586555 51.56155707212435857, 5.07430383113630157 51.560439183095788, 5.06464212868397823 51.56051360371902348, 5.06518080794303671 51.56289183343442772, 5.0743967630586555 51.56155707212435857, 5.0743967630586555 51.56155707212435857)))",BU08552101,VGL-terrein,WK085521,GM0855,Tilburg,1,NEE,5038,1,4490,1,3802,515,225,290,8,10,26,16,40,48,22,16,14,355,63,22,15,1.5,74,9,17,74,4,6,4,11,14,14,0,2023BU08552101,2023,buurten.b05fe2f9-8f64-4bd2-8214-80edadf46416
"MultiPolygon (((5.07452437985607663 51.56153984060716766, 5.07733698136222511 51.56118264867468071, 5.07430383113630157 51.560439183095788, 5.07452437985607663 51.56153984060716766, 5.07452437985607663 51.56153984060716766)))",BU08552102,Talentsquare,WK085521,GM0855,Tilburg,1,NEE,5038,1,5359,1,38313,815,420,400,0,69,30,0,0,100,0,0,0,790,99,1,0,1,28,38,34,28,1,8,37,26,2,2,0,2023BU08552102,2023,buurten.ae79742e-0574-4481-aba3-e7d93838ac62
"MultiPolygon (((5.07755985365260898 51.56115392703746636, 5.09152212525651304 51.5598997525546423, 5.07708621244280778 51.56033127069245836, 5.07755985365260898 51.56115392703746636, 5.07755985365260898 51.56115392703746636)))",BU08552103,Spoorlaan,WK085521,GM0855,Tilburg,1,NEE,5038,1,5672,1,3310,200,120,85,2,15,61,15,9,79,12,8,1,85,44,49,7,1.6,65,10,26,65,3,13,7,13,6,6,0,2023BU08552103,2023,buurten.d1e5897e-4eee-473e-ba01-533739f80e1a
"MultiPolygon (((5.07354888597544562 51.56861405722204239, 5.07724268635850517 51.56715720058760866, 5.07745287398734035 51.56201534099481876, 5.07489786218858896 51.56220886646427459, 5.06917708702676251 51.56675765325702798, 5.07354888597544562 51.56861405722204239, 5.07354888597544562 51.56861405722204239)))",BU08552201,Bouwmeestersbuurt Noord,WK085522,GM0855,Tilburg,1,NEE,5041,1,4796,1,7932,2130,1055,1075,11,13,27,25,24,53,30,10,7,1135,53,26,20,1.8,79,10,11,79,3,4,7,7,27,27,0,2023BU08552201,2023,buurten.13ae4b39-0282-4f46-abb5-9a264e6dbbc5
"MultiPolygon (((5.06923597347417942 51.56668380081144676, 5.07445525229759475 51.56154917473264021, 5.06518080794303671 51.56289183343442772, 5.06575729596187685 51.56625926663260628, 5.06923597347417942 51.56668380081144676, 5.06923597347417942 51.56668380081144676)))",BU08552202,Bouwmeestersbuurt Zuid,WK085522,GM0855,Tilburg,1,NEE,5041,1,4606,1,9382,1990,1010,980,12,17,35,22,14,62,25,9,4,1135,54,23,22,1.7,64,13,23,64,4,9,9,14,21,21,0,2023BU08552202,2023,buurten.f0ee50dc-d355-4a8c-b6cd-f4fc82b69c05
"MultiPolygon (((5.07385071905267448 51.57628140918718174, 5.07277491926927038 51.57218761851068223, 5.06643028379329685 51.57557281751962108, 5.07385071905267448 51.57628140918718174, 5.07385071905267448 51.57628140918718174)))",BU08552301,Textielbuurt West,WK085523,GM0855,Tilburg,1,NEE,5046,1,3223,1,8828,1175,560,615,15,16,27,30,11,59,28,10,3,560,43,21,36,2.1,56,13,31,56,3,15,9,16,13,13,0,2023BU08552301,2023,buurten.86bc9022-47cf-4d74-81ab-d7692b94e0ce
