scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2038,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1444,82,186,113287,0.33944976675510874,0.5939973137500775,0.03252886925943946,1407.085657370518,0.6788464960817331,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2039,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1311,85,218,113372,0.36960586024896214,0.5995899015874898,0.04148163195555305,1449.0415129151293,0.6762512487003326,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2040,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1190,110,231,113482,0.2660226127631019,0.5851213191654856,0.007684482806667307,1560.7610004631774,0.6914875546329533,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2041,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1105,83,168,113565,0.26720073785636084,0.5848208640995503,0.007317279965824285,1541.1398662041624,0.6906942395139448,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2042,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1094,106,117,113671,0.258729255864629,0.6076503863235074,0.005244384391114147,1547.4422402322487,0.7239574298097985,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2043,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1087,101,108,113772,0.26701060219431894,0.5856941849262095,0.00588427304087484,1511.3705440900562,0.6919220458368359,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2044,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1075,86,98,113858,0.26385304820009103,0.5750524537677462,0.00622982558745231,1539.1756788947118,0.6787855889569621,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2045,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1070,83,88,113941,0.19922196730477046,0.5740103184385393,0.006197259679810336,1506.7176848874599,0.698939768816459,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2046,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1061,87,96,114028,0.20583927790691678,0.5730076833269626,0.006224016490845926,1552.1591218185351,0.6953971518003121,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2047,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1053,100,108,114128,0.223829691469036,0.569468182220687,0.007397029900719728,1583.7921924290222,0.6846810124712389,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2048,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1052,52,53,114180,0.24284489476991244,0.5837359237702968,0.0065405521573673915,1621.5094888276706,0.697366266770426,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2049,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1048,73,77,114253,0.20826283234265344,0.5839039356678375,0.006084366914948811,1454.724667003878,0.7091176367762363,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2050,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1043,77,82,114330,0.2289210843200429,0.5636043853249263,0.006357626724173717,1484.623745819398,0.6751654856598884,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,66125,66125,0,66125,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,66418,7782,7489,73907,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,66625,6713,6506,80620,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,66665,6543,6503,87163,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,66843,10782,10604,97945,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,68447,7080,5476,105025,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,69861,5901,4487,110926,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,70930,4033,2964,114959,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,73596,4976,2310,119935,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,73638,1557,1515,121492,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,73652,7889,7875,129381,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,74738,1086,0,130467,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,74894,10552,10396,141019,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,74894,7782,7782,148801,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2038,0.0,0.0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,75784,7603,6713,156404,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
