buurtcode,district_heating,district_heating_infra,installatie_code,installatie,infra_code,infra,status_code,status,isolatiegraad_code,isolatiegraad,start_jaar,eind_jaar
BU19030004,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030005,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030009,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030100,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030101,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030200,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030201,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030202,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030203,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030204,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030205,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030300,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030301,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030302,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030303,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030304,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030309,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030400,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030401,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030402,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030403,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030404,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030409,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030500,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030501,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030502,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030503,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030504,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030505,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19030509,FALSE,FALSE,3,eWP,0,Onbekend,orienterend,voorlopige keuze,5,Schillabel B+,2022,2025
BU19040101,FALSE,FALSE,0,Onbekend,0,Onbekend,onderzoekend,orienterend,0,Onbekend,2021,2050
BU19040102,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040103,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040104,FALSE,FALSE,0,Onbekend,0,Onbekend,onderzoekend,orienterend,0,Onbekend,2021,2050
BU19040105,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040106,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040107,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040108,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040109,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040110,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040111,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040112,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040113,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040114,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040115,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040116,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040117,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040118,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040119,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040201,FALSE,FALSE,0,Onbekend,0,Onbekend,onderzoekend,niet benoemd,0,Onbekend,2040,2050
BU19040202,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040203,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040204,FALSE,FALSE,3,eWP,2,E,Stimulerend,geen keuze gemaakt,0,Onbekend,2021,2050
BU19040205,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040206,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040207,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040208,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040209,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040210,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040211,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040212,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040213,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040214,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040215,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040216,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040301,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040302,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040303,FALSE,FALSE,3,eWP,2,E,Stimulerend,geen keuze gemaakt,0,Onbekend,2021,2050
BU19040304,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040305,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,voorkeursoptie,0,Onbekend,2022,0
BU19040306,FALSE,FALSE,3,eWP,2,E,Stimulerend,geen keuze gemaakt,0,Onbekend,2021,2050
BU19040307,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040308,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040309,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040310,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040311,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040312,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040401,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,voorkeursoptie,0,Onbekend,2022,0
BU19040402,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040501,FALSE,FALSE,0,Onbekend,0,Onbekend,onderzoekend,niet benoemd,0,Onbekend,2040,2050
BU19040502,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,voorkeursoptie,0,Onbekend,2022,0
BU19040503,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,voorkeursoptie,0,Onbekend,2022,0
BU19040504,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040505,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040506,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040507,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040508,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040509,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040601,FALSE,FALSE,3,eWP,2,E,Stimulerend,geen keuze gemaakt,0,Onbekend,2021,2050
BU19040602,FALSE,FALSE,3,eWP,2,E,Stimulerend,geen keuze gemaakt,0,Onbekend,2021,2050
BU19040603,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19040604,FALSE,FALSE,3,eWP,2,E,Stimulerend,geen keuze gemaakt,0,Onbekend,2021,2050
BU19040701,FALSE,FALSE,6,"hWP,eWP",3,"E,G",terughoudend,voorsorterend,0,Onbekend,2022,2050
