buurtcode,gasCV,gasBlock,ehp,hhp,dh,hasDHgrid
BU00340603,0.97,0.0,0.01,0.0,0.0,false
BU00340604,0.0,0.0,0.0,0.0,0.0,false
BU00340605,0.0,0.0,0.0,0.0,0.0,false
BU00340606,0.0,0.0,0.0,0.0,0.0,false
BU00340701,0.97,0.0,0.02,0.01,0.0,false
BU00340702,0.96,0.0,0.01,0.0,0.0,false
BU00340703,0.9,0.07,0.03,0.0,0.0,false
BU00340704,0.0,0.0,0.0,0.0,0.0,false
BU00340801,1.0,0.0,0.0,0.0,0.0,false
BU00340802,0.99,0.0,0.01,0.0,0.0,false
BU00340803,0.96,0.0,0.03,0.01,0.0,false
BU00340901,0.87,0.0,0.0,0.13,0.0,false
BU00340902,0.96,0.0,0.0,0.03,0.0,false
BU00341001,0.8,0.0,0.1,0.08,0.0,false
BU00341002,0.0,0.0,0.0,0.0,0.0,false
BU00341003,0.0,0.0,0.0,0.0,0.0,false
BU00341101,0.05,0.0,0.95,0.01,0.0,false
BU00341102,0.9,0.08,0.02,0.01,0.0,false
BU00341401,0.0,0.0,0.0,0.0,0.0,false
BU00341501,0.0,0.0,0.0,0.0,0.0,false
BU00341601,0.0,0.0,0.0,0.0,0.0,false
BU00341602,0.0,0.0,0.0,0.0,0.0,false
BU00341701,0.0,0.0,0.0,0.0,1.0,true
BU00341702,0.0,0.0,0.0,0.0,1.0,true
BU00341703,0.0,0.0,0.0,0.0,1.0,true
BU00341704,0.0,0.0,0.0,0.0,1.0,true
BU00341705,0.0,0.0,0.0,0.0,0.99,true
BU00341801,0.01,0.0,0.05,0.0,0.82,true
BU00341802,0.0,0.0,0.06,0.0,0.94,true
BU00341803,0.0,0.0,0.1,0.0,0.9,true
BU00341804,0.0,0.0,0.14,0.0,0.86,true
BU00341805,0.0,0.0,0.09,0.0,0.91,true
BU00341806,0.0,0.0,0.1,0.0,0.9,true
BU00341807,0.0,0.0,0.0,0.0,0.0,false
BU00341808,0.0,0.0,0.0,0.0,0.0,false
BU00341901,0.0,0.0,0.12,0.0,0.88,true
BU00341902,0.0,0.0,0.1,0.0,0.9,true
BU00341903,0.0,0.0,0.16,0.0,0.84,true
BU00341904,0.0,0.0,0.11,0.0,0.89,true
BU00342001,0.0,0.0,0.09,0.0,0.91,true
BU00342002,0.0,0.0,0.14,0.0,0.86,true
BU00342003,0.0,0.0,0.14,0.0,0.86,true
BU00342004,0.0,0.0,0.13,0.0,0.87,true
BU00342005,0.0,0.0,0.0,0.0,0.0,false
BU00342101,0.0,0.0,0.08,0.0,0.92,true
BU00342102,0.0,0.0,0.15,0.0,0.85,true
BU00342103,0.0,0.0,0.0,0.0,0.0,false
BU00342201,0.0,0.0,0.15,0.0,0.85,true
BU00342202,0.0,0.0,0.09,0.0,0.91,true
BU00342203,0.0,0.0,0.14,0.0,0.86,true
BU00342204,0.0,0.0,0.12,0.0,0.88,true
BU00342205,0.0,0.0,0.13,0.0,0.87,true
BU00342206,0.0,0.0,0.0,0.0,0.0,false
BU00342301,0.0,0.0,0.14,0.0,0.86,true
BU00342302,0.0,0.0,0.13,0.0,0.87,true
BU00342303,0.0,0.0,0.08,0.0,0.92,true
BU00342304,0.0,0.0,0.07,0.0,0.41,true
BU00342401,0.0,0.0,0.09,0.0,0.91,true
BU00342402,0.0,0.0,0.14,0.0,0.86,true
BU00342403,0.0,0.0,0.11,0.0,0.89,true
BU00342404,0.0,0.0,0.11,0.0,0.89,true
BU00342405,0.0,0.0,0.08,0.0,0.92,true
BU00342406,0.0,0.0,0.08,0.0,0.92,true
BU00342407,0.0,0.0,0.0,0.0,0.0,false
BU00342408,0.0,0.0,0.0,0.0,0.0,false
BU00342501,0.0,0.0,0.01,0.0,0.99,true
BU00342502,0.0,0.0,0.04,0.0,0.96,true
BU00342503,0.0,0.0,0.02,0.0,0.98,true
BU00342601,0.0,0.0,0.08,0.0,0.92,true
BU00342602,0.0,0.0,0.11,0.0,0.89,true
BU00342603,0.0,0.0,0.12,0.0,0.88,true
BU00342604,0.0,0.0,0.08,0.0,0.92,true
BU00342605,0.0,0.0,0.09,0.0,0.91,true
BU00342606,0.0,0.0,0.1,0.0,0.9,true
BU00342607,0.0,0.0,0.0,0.0,0.0,false
BU00342608,0.0,0.0,0.0,0.0,0.0,false
BU00342609,0.0,0.0,0.0,0.0,0.0,false
BU00342701,0.0,0.0,0.08,0.0,0.92,true
BU00342702,0.0,0.0,0.12,0.0,0.88,true
BU00342703,0.0,0.0,0.05,0.0,0.95,true
BU00342704,0.0,0.0,0.1,0.0,0.9,true
BU00342705,0.0,0.0,0.14,0.0,0.86,true
BU00342706,0.0,0.0,0.0,0.0,0.0,false
BU00342707,0.0,0.0,0.0,0.0,0.0,false
BU00342708,0.0,0.0,0.0,0.0,0.0,false
BU00342801,0.0,0.0,0.13,0.0,0.87,true
BU00342802,0.0,0.0,0.11,0.0,0.89,true
BU00342803,0.0,0.0,0.09,0.0,0.91,true
BU00342804,0.0,0.0,0.08,0.0,0.92,true
BU00342805,0.0,0.0,0.07,0.0,0.93,true
BU00342806,0.0,0.0,0.06,0.0,0.94,true
BU00342807,0.0,0.0,0.14,0.0,0.86,true
BU00342808,0.0,0.0,0.09,0.0,0.91,true
BU00342809,0.0,0.0,0.0,0.0,0.0,false
BU00342810,0.0,0.0,0.0,0.0,0.0,false
BU00342901,0.0,0.0,0.07,0.0,0.93,true
BU00342902,0.0,0.0,0.09,0.0,0.91,true
BU00342903,0.0,0.0,0.08,0.0,0.92,true
BU00342904,0.0,0.0,0.0,0.0,0.0,false
BU00343001,0.0,0.0,0.12,0.0,0.88,true
BU00343002,0.0,0.0,0.13,0.0,0.87,true
BU00343003,0.0,0.0,0.14,0.0,0.86,true
BU00343004,0.0,0.0,0.15,0.0,0.85,true
BU00343005,0.0,0.0,0.1,0.0,0.9,true
BU00343006,0.0,0.0,0.0,0.0,0.0,false
BU00343007,0.0,0.0,0.0,0.0,0.0,false
BU00343101,0.0,0.0,0.23,0.0,0.74,true
BU00343102,0.0,0.0,0.14,0.0,0.86,true
BU00343103,0.0,0.0,0.12,0.0,0.88,true
BU00343104,0.0,0.0,0.15,0.0,0.85,true
BU00343105,0.0,0.0,0.14,0.0,0.86,true
BU00343201,0.0,0.0,0.0,0.0,0.0,false
BU00343401,0.0,0.0,0.0,0.0,0.0,false
BU00343402,0.0,0.0,0.0,0.0,0.0,false
BU00343403,0.0,0.0,0.0,0.0,0.0,false
BU00343501,0.0,0.0,0.0,0.0,0.0,false
BU00343502,0.0,0.0,0.0,0.0,0.0,false
BU00343601,0.0,0.0,0.0,0.0,0.0,false
BU00343701,0.0,0.0,0.0,0.0,0.0,false
BU00343702,0.0,0.0,0.0,0.0,0.0,false
BU00343801,0.0,0.0,0.0,0.0,0.0,false
BU00343802,0.0,0.0,0.0,0.0,0.0,false
BU00343901,0.0,0.0,0.0,0.0,0.0,false
BU00343902,0.0,0.0,0.0,0.0,0.0,false
BU00343903,0.0,0.0,0.0,0.0,0.0,false
BU00344001,0.0,0.0,0.0,0.0,0.0,false
BU00344002,0.0,0.0,0.0,0.0,0.0,false
BU00344003,0.0,0.0,0.0,0.0,0.0,false
BU00344101,0.72,0.12,0.11,0.0,0.04,true
BU00344102,0.72,0.0,0.27,0.0,0.0,false
BU00344201,0.97,0.0,0.02,0.02,0.0,false
BU00344202,0.99,0.0,0.0,0.01,0.0,false
BU00344203,0.97,0.0,0.01,0.01,0.0,false
BU00344204,0.0,0.0,0.0,0.0,0.0,false
BU00344301,0.95,0.0,0.01,0.04,0.0,false
BU00344302,0.99,0.0,0.01,0.0,0.0,false
BU00344303,0.99,0.0,0.01,0.0,0.0,false
